Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Brooklyn Nets,Indiana Pacers,0021600019,103,0.0,0.443,0.341,0.8,42.3,21.2,15.4,7.7,2.9,-4.8,112.5,117.3,0.553,94,1.0,0.505,0.526,0.765,44.8,25.9,13.8,9.5,5.2,7.8,112.1,105.2,0.602,1,10/28/2016
Miami Heat,Charlotte Hornets,0021600022,91,1.0,0.485,0.25,0.625,54.2,28.1,12.5,5.2,7.3,12.5,112.5,102.1,0.519,97,1.0,0.449,0.304,0.833,53.1,28.1,10.4,5.2,10.4,11.5,111.5,102.1,0.537,0,10/28/2016
Detroit Pistons,Orlando Magic,0021600020,108,0.0,0.417,0.182,0.773,41.2,17.5,14.4,8.2,0.0,-18.6,93.8,112.4,0.486,82,0.0,0.382,0.333,0.786,47.9,21.3,11.7,5.3,4.3,-12.8,102.1,112.5,0.474,1,10/28/2016
Utah Jazz,Los Angeles Lakers,0021600024,96,0.0,0.488,0.333,1.0,34.1,20.9,15.4,9.9,5.5,-9.9,114.3,122.8,0.584,89,1.0,0.506,0.343,0.818,38.6,20.8,15.8,9.9,4.0,5.9,118.8,112.9,0.608,1,10/28/2016
Dallas Mavericks,Houston Rockets,0021600023,98,0.0,0.433,0.375,0.722,42.6,22.6,13.0,7.0,7.0,-7.8,105.2,112.1,0.541,106,0.0,0.512,0.241,0.704,38.6,28.7,14.9,9.9,1.0,-5.9,112.9,118.8,0.582,0,10/28/2016
Toronto Raptors,Cleveland Cavaliers,0021600018,91,1.0,0.477,0.167,0.828,52.6,17.5,12.4,8.2,0.0,18.6,112.4,93.8,0.552,94,1.0,0.479,0.371,0.737,50.5,30.7,14.9,11.9,5.0,28.7,115.8,87.1,0.572,0,10/28/2016
Oklahoma City Thunder,Phoenix Suns,0021600021,113,1.0,0.415,0.273,0.731,53.0,19.0,10.0,7.0,3.0,6.0,103.0,97.0,0.488,110,0.0,0.468,0.25,0.667,42.3,20.6,18.6,6.2,3.1,-19.6,96.9,116.5,0.529,1,10/28/2016
New Orleans Pelicans,Golden State Warriors,0021600025,114,0.0,0.413,0.158,0.885,30.0,28.2,10.0,14.5,4.5,-4.5,92.7,96.4,0.493,122,0.0,0.471,0.212,0.722,34.7,23.8,15.8,10.9,5.9,-28.7,99.0,129.0,0.538,0,10/28/2016
Philadelphia 76ers,Atlanta Hawks,0021600026,72,0.0,0.429,0.292,0.72,43.0,21.0,14.0,5.0,10.0,-6.0,97.0,103.0,0.511,104,1.0,0.5,0.462,0.778,50.5,27.2,20.4,12.6,6.8,14.6,110.7,97.1,0.594,0,10/29/2016
San Antonio Spurs,New Orleans Pelicans,0021600032,98,1.0,0.469,0.429,0.887,49.5,25.0,12.5,12.0,5.7,19.3,120.3,100.0,0.577,79,0.0,0.443,0.195,0.776,37.4,27.4,11.9,11.0,4.6,-5.9,98.6,104.1,0.506,1,10/29/2016
Chicago Bulls,Indiana Pacers,0021600030,118,1.0,0.391,0.44,0.733,56.1,25.5,12.2,5.1,1.0,6.1,107.1,101.0,0.499,101,0.5,0.44,0.395,0.722,46.5,24.0,13.4,8.3,5.5,0.0,103.2,103.7,0.522,1,10/29/2016
New York Knicks,Memphis Grizzlies,0021600028,111,0.0,0.368,0.333,0.75,41.6,16.8,17.8,5.9,5.9,-28.7,87.1,115.8,0.459,104,1.0,0.45,0.458,0.704,48.4,20.4,14.0,6.5,11.8,4.3,109.7,107.7,0.555,1,10/29/2016
Cleveland Cavaliers,Orlando Magic,0021600029,105,1.0,0.451,0.373,0.732,46.0,25.8,16.7,10.1,4.0,16.2,106.6,89.9,0.552,99,0.0,0.364,0.318,0.75,47.1,21.2,10.6,6.9,3.7,-20.1,94.2,113.7,0.441,1,10/29/2016
Milwaukee Bucks,Brooklyn Nets,0021600031,110,0.0,0.424,0.188,0.75,48.9,24.5,8.5,4.3,5.3,-11.7,102.1,111.5,0.476,108,0.5,0.44,0.325,0.825,46.8,20.5,15.6,6.8,3.4,2.0,107.3,105.4,0.546,1,10/29/2016
Sacramento Kings,Minnesota Timberwolves,0021600034,106,0.5,0.462,0.293,0.797,42.6,24.2,15.8,6.3,2.6,5.8,108.9,103.7,0.562,103,0.0,0.419,0.333,0.69,49.5,22.0,12.1,6.6,5.5,-4.4,107.7,109.7,0.496,1,10/29/2016
Denver Nuggets,Portland Trail Blazers,0021600033,113,1.0,0.446,0.333,0.758,52.3,16.2,22.5,6.3,3.6,4.5,96.4,92.7,0.549,115,0.5,0.488,0.459,0.852,42.3,20.6,13.9,4.6,3.6,0.5,112.9,113.5,0.596,0,10/29/2016
Charlotte Hornets,Boston Celtics,0021600027,98,1.0,0.414,0.311,0.833,51.8,24.4,9.3,7.8,9.8,8.8,105.7,98.4,0.505,104,0.5,0.521,0.345,0.714,41.1,28.7,15.3,9.4,7.4,-0.5,109.4,109.9,0.602,0,10/29/2016
